"County","apps","d_apps","r_apps","d_app_rejections","r_app_rejections","d_ballot_returned","d_percent_returned","r_percent_returned","fips"
"TURNER",374,122,237,2,0,0,0,0,"13287"
"WILKINSON",360,224,132,0,0,0,0,0,"13319"
"TREUTLEN",333,15,22,0,2,0,0,0,"13283"
"QUITMAN",250,182,64,0,0,160,0.879120879120879,0,"13239"
"CLAY",237,128,101,0,0,0,0,0,"13061"
"SCHLEY",226,70,153,0,0,0,0,0,"13249"
"MILLER",193,55,138,0,0,0,0,0.398550724637681,"13201"
"STEWART",188,123,61,3,0,0,0,0,"13259"
"PEACH",187,117,70,2,0,0,0,0,"13225"
"CHATTAHOOCHEE",163,126,31,2,8,111,0.895161290322581,0,"13053"
"TALIAFERRO",162,126,34,0,0,0,0,0,"13265"
"LONG",148,142,5,0,0,86,0.605633802816901,0,"13183"
"WEBSTER",125,4,0,0,0,0,0,NA,"13307"
"ATKINSON",48,23,3,0,0,0,0,0,"13003"
"WARREN",20,17,3,0,0,0,0,0,"13301"
"ECHOLS",8,8,0,0,0,6,0.75,NA,"13101"
"SEMINOLE",2,0,2,0,2,0,NA,NA,"13253"
"TAYLOR",2,0,2,0,1,0,NA,0,"13269"
"HANCOCK",1,0,1,0,0,0,NA,0,"13141"
"MACON",1,0,0,0,0,0,NA,NA,"13193"
"WHEELER",1,0,0,0,0,0,NA,NA,"13309"
